x,y,brightness1,brightness2,locPrec,oligomerID
6256.8,3491.9,2087,39736,0.795,188
6258.6,3490.8,2190,39737,0.79401,188
6257.7,3491.7,2247.4,39999,0.79101,188
6257.8,3489.5,2111.8,39291,0.79903,188
6258.4,3489.9,2203.1,39681,0.79442,188
6258.9,3491.4,2195.2,39564,0.79561,188
6258.7,3490.2,2165.2,40098,0.79085,188
6257.8,3491.9,2259.7,39567,0.79496,188
6257.8,3490.1,2244.9,40126,0.78984,188
7288,5562.7,28551,29256,0.67622,680
7286.4,5562.6,28595,28562,0.68005,680
7288.3,5562.7,28225,28809,0.68079,680
7287.9,5562.7,28801,28662,0.67824,680
7288.3,5561.4,28523,28689,0.67972,680
1081.4,4360.8,84547,2756.7,0.55025,390
1081,4359.9,84960,2675.4,0.54921,390
1080.4,4359.9,84855,2927.7,0.54874,390
1080.4,4360.2,84809,2960.7,0.54879,390
1081.1,4358.9,85098,2950.5,0.54792,390
3441.8,8876.9,16661,73544,0.54133,388
3442,8877,16649,73320,0.54204,388
3441.8,8877.7,16731,73820,0.54029,388
3442.4,8877.7,16899,73724,0.54008,388
1189,2971.7,8780.6,83291,0.53581,506
1188.7,2973.3,8852.6,83684,0.53446,506
1189,2973.2,8619,84098,0.53395,506
1189.1,2973,8658.3,84216,0.53349,506
1189.8,2973.1,8653.6,83559,0.5354,506
1189.7,2972.2,8695.7,84232,0.53334,506
1190.5,2972.1,8693.1,83789,0.53462,506
1188.9,2972.2,8695.8,84093,0.53374,506
1189.7,2973,8782.7,83688,0.53466,506
1189.2,2972.5,8656.3,83061,0.53685,506
1189.9,2972.5,8746.2,84279,0.53306,506
1189.5,2972.8,8777.3,84358,0.53274,506
1190.2,2972.1,8786.1,83552,0.53504,506
1188.9,2972,8856.5,83532,0.53489,506
1188.5,2973.3,8570.2,83924,0.53459,506
5252.3,9802,5377.5,92613,0.51938,964
5251.6,9800.7,5514.9,92145,0.52026,964
5252.1,9801.5,5387.7,91977,0.52104,964
5251.8,9801,5428,92429,0.51973,964
5251.9,9800.8,5282.6,92774,0.5192,964
5251.5,9801.5,5458.8,92468,0.51955,964
5250.8,9801.5,5468.8,92736,0.51881,964
5251.6,9800.8,5155.3,92273,0.52088,964
6715.3,5527.2,75392,13354,0.54576,985
6715.6,5527.3,75535,13053,0.54625,985
6715.5,5527.2,75995,13259,0.5442,985
6715.6,5527.7,75733,13031,0.5457,985
6715.4,5527.5,75900,13175,0.54475,985
6714.1,5526.5,75169,13301,0.54661,985
6715.2,5526.8,75626,13208,0.54549,985
6713.6,5527.1,75819,13371,0.5444,985
6715.1,5527,75703,13440,0.54454,985
6714.5,5527,75390,13379,0.54569,985
6715.5,5527.7,76183,13102,0.54411,985
6715,5527.8,75621,13400,0.54492,985
6714.7,5527.4,75848,13286,0.54457,985
6715,5527.5,75797,13126,0.54522,985
6715.4,5527.7,75480,13282,0.54571,985
4043,1749.5,27668,3028.1,0.92797,521
4042.6,1750.4,27684,3098.4,0.92667,521
4042.4,1750.1,27437,2944.6,0.93276,521
4042.4,1751.3,27478,2952.6,0.93202,521
4042.5,1751.7,27305,2943.7,0.93481,521
4042.5,1751.2,27847,3003.4,0.92565,521
9505.7,5756.9,93991,682.51,0.5284,39
9505.8,5756.4,93959,713.27,0.5284,39
7700.3,1124.6,13488,85755,0.51609,493
7699.5,1124.1,13362,85474,0.51715,493
7700,1124.2,13516,85928,0.51557,493
7699.4,1125.2,13349,85731,0.51651,493
7698.6,1124.1,13588,85857,0.51557,493
7700.2,1124.9,13498,85882,0.51573,493
7698.7,1124.8,13194,85305,0.51804,493
7698.4,1124.6,13486,85476,0.51682,493
7700,1124.8,13392,85608,0.51672,493
7699.4,1124.8,13689,85506,0.51622,493
5105.5,5883.9,73110,2605.9,0.59086,198
5105.3,5884.7,73052,2642.5,0.59094,198
5104.9,5885,72577,2520.6,0.59329,198
5104.6,5885,72983,2679.9,0.59106,198
3503.1,4441.3,67238,32190,0.51561,494
3503,4441.2,66993,32018,0.5167,494
3503.2,4441.1,66704,31776,0.51809,494
3503.8,4442.5,66407,31333,0.52004,494
3503.4,4441.3,66684,31726,0.51827,494
3503.1,4440.8,66693,31902,0.51778,494
3503.1,4441.6,66784,31534,0.51851,494
3502.8,4442.5,66667,31702,0.51838,494
3503.1,4441.5,66838,31962,0.51725,494
3503.3,4442.3,67383,31848,0.51612,494
3503.2,4442.3,66970,31692,0.51761,494
6406.9,4035.8,54117,30277,0.55965,806
6406.8,4035.5,53642,29994,0.56218,806
6407,4036.4,53417,29757,0.56374,806
6407.4,4035.4,53547,29870,0.56292,806
6406.8,4035.8,53772,29927,0.56198,806
6406.8,4036.6,53610,30230,0.5615,806
6406.5,4036,53323,29458,0.56508,806
6406.1,4035,54013,29567,0.56238,806
6406.8,4035.6,53388,29496,0.56473,806
6407,4035.8,53466,30026,0.56267,806
6406.4,4036,53377,29682,0.56413,806
4420.3,8910.2,85574,12868,0.51819,548
4420.7,8909.2,86337,12576,0.51695,548
4420,8910.1,86278,12757,0.51663,548
4420.9,8909.8,86557,12788,0.51583,548
4420.4,8910.1,86080,12758,0.51715,548
4420.4,8909.5,85613,12758,0.51837,548
8609.4,9549.3,24382,23782,0.74082,535
8608.9,9549.8,24501,23951,0.73862,535
8609,9550.7,24494,23677,0.74077,535
8611.1,9549.1,24661,23657,0.73964,535
8609.5,9551,24224,23814,0.7418,535
7721.6,2214.1,41099,46846,0.54824,526
7722.8,2214.1,40750,46978,0.54892,526
7721.7,2214.4,40759,47221,0.54813,526
7722.2,2214.4,41041,47402,0.54669,526
7722.4,2214,40777,47413,0.54748,526
7721.3,2216.1,40920,47358,0.5472,526
7721.6,2213.6,41065,47436,0.54652,526
7722.5,2214.4,40471,47513,0.54812,526
7721.8,2214.9,41413,46756,0.54754,526
7722.5,2214.9,41166,47346,0.54648,526
7722.7,2214.6,40634,47856,0.54655,526
1088.6,8546,31593,35741,0.62656,767
1087.9,8547.6,31696,36420,0.62295,767
1088.6,8546.8,32128,36257,0.62172,767
1088.7,8548.1,31770,36592,0.62182,767
2376.1,9225,10314,46388,0.68278,249
2374.9,9225.7,10221,46024,0.68554,249
2375.1,9224.8,10511,46681,0.67985,249
2375.5,9224,10164,46729,0.68162,249
4074.3,5172.6,4528.9,53070,0.67744,413
4074.2,5173.6,4446.9,52711,0.68004,413
2050.4,4964.5,5246.2,45437,0.72217,650
2051.1,4964,5256.2,46145,0.71712,650
2052.6,4965.3,5193.6,45762,0.72025,650
6355.6,4516,55709,35343,0.53881,483
6356,4516.5,54973,35516,0.54048,483
6355.8,4515.7,55066,35184,0.54119,483
6356.9,4516.9,55274,36141,0.53773,483
6356.4,4515.2,55482,35801,0.53812,483
6356.9,4516.2,54980,35602,0.5402,483
9135.5,2834.3,93671,5518.2,0.51623,895
9134.7,2835.3,93773,5576.5,0.51581,895
9135.3,2834.7,93192,5658.6,0.51711,895
9135.6,2835.3,93566,5486.4,0.51659,895
9135.2,2833.8,93419,5616.6,0.51663,895
9135.9,2834.6,94212,5489.6,0.5149,895
9135.2,2835.4,93105,5656.6,0.51735,895
9135.9,2834.7,93015,5588.9,0.51776,895
9135.2,2835.5,93491,5605.9,0.51647,895
9135.3,2834.3,94346,5510,0.5145,895
9134.5,2834.7,93490,5477.6,0.51681,895
9135.1,2834.7,93452,5561.3,0.51669,895
9134.9,2834.8,93888,5564,0.51555,895
9830.5,4919.7,4321.2,55994,0.66201,386
9831.3,4918.1,4152.4,55995,0.66293,386
9830.6,4918.5,4150.9,55612,0.66506,386
9831.4,4918.6,4131.2,55794,0.66415,386
9830.1,4917.9,4097.7,56221,0.66199,386
9831.3,4917.3,4150.8,55730,0.66441,386
9830.3,4918.6,4142.3,55407,0.66625,386
9830.4,4917.7,4185.3,55852,0.66353,386
9830.7,4918.4,4357.6,55635,0.66378,386
7302.4,8780.6,22865,70503,0.53208,246
7302.7,8782.1,22652,70796,0.53185,246
7303.6,8781.2,22990,70657,0.53129,246
7302.7,8781.3,22532,69756,0.53518,246
7303.3,8780.6,22781,70305,0.53288,246
7303.7,8781.1,22869,70147,0.53309,246
7302.8,8780.9,22826,70210,0.53303,246
7302.3,8781.2,22811,70432,0.53244,246
7360.3,6504.4,16133,3735.8,1.1534,734
7363.4,6503.3,16423,3853.5,1.1418,734
7361.5,6507.1,16584,3674.8,1.1423,734
7361.7,6505.3,16435,3744.4,1.1445,734
7362.5,6504.7,16232,3874,1.1466,734
5315,6945.2,73899,16336,0.54124,417
5315.1,6944.8,74185,16684,0.53935,417
5315.4,6945.7,74255,16701,0.53909,417
5315,6944.3,74320,16875,0.53838,417
